Текст вопроса	Номер связки 	Тематика 		
Добрый день, я являюсь работником торговли в продуктовом магазине, скажите  пожалуйста как долго мы должны работать в масках.Ведь обстановка  стабилизировалась, это очень трудно находиться по 14 часов в день в  закрытом помещении в масках,нам на работе запрещают даже чтобы нос не был  открыт был под маской.Скажите пожалуйста как можно работать,ведь не во всех  магазинах соблюдают .      	70	СРЕДСТВА ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ ( МАСКИ, ПЕРЧАТКИ) 		
Спасибо за информацию! Просьба уточнить где можно пройти ПЦР-тестирование в течение 3-х дней после прибытия в Российскую федерацию? 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день! У меня к Вам вот такой вопрос. В понедельник (17.08)сдавали тест на коронавирус для лагеря(сотрудники лаборатории «руслаб» выехали на место трудоустройства). В среду (19.08) мне звонит директор и говорит, что у меня сомнительный результат, который отправили в роспотребнадзор на дообследование. Сегодня я сходила и сдала иммуноглобулины М и G. В связи с этим у меня вопрос, могу ли я по результатам этого тестирования (на антитела) заехать в лагерь? Или мне обязательно надо дождаться результатов из Роспотребнадзора? Спасибо! 	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
Добрый день!  Сестра с детьми прилетели из-за границы ( Турция )  в Г. Екатеринбург и им сообщили , что в течении 3 дней нужно сдать тесть на коронавирус .  Вопросы :  1. Можно ли сдать данный тест бесплатно? Если да, то в каких клиниках?  2. Во многих платных клиниках готовность теста от 3 рабочих дней, а в памятке , которую им дали по прилету сказано , что тест на госуслуги нужно загрузить в течении 3 дней. Что если тест будет готов позже 3 дневного срока ?  	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН "		
Здравствуйте. Я находилась на амбулаторном лечении и на больничном с 22.06.2020 по 13.07.2020. После выздоровления была выписана по результатам анализов. 17.08.2020 по месту работы был взят тест на антитела: IgM 3.08 (норма до 2), IgG 172,37 ( до 10). Показатель IgG свидетельствуют о том, что у меня высокие антитела к вирусу Ковид-19, а показатель IgM свидетельствуют о том, что я переболела коронавирусом. 18.08.2020 на приёме в ГБУЗ ГП 175 ф1 (ГП 16) дежурный врач Полинский Д.Г. мне объяснил, что повышенные IgM  после болезни сохраняются ещё продолжительное время. Он сам работает с показателем IgM= 8. Врач мне стал выписывать справку о том, что я здорова, но узнав, что я учитель отправил на карантин на 14 дней. 18.08.2020 у меня был взят мазок слизистой носоглотки. Результат отрицательный - вирус не обнаружен. По показаниям врача я обязана сдать повторный мазок 28.08.2020. Я многодетная мама, одна  содержу и воспитываю детей, находиться на больничном (в полном здравии) для меня трудное материальное бремя. Также мне сейчас необходимо находиться на работе и вести подготовку к новому учебному году. Прошу помочь мне, посодействовать, в закрытии больничного. Моя работа связана с общением  с большим количеством людей, с детьми, но и у врачей тоже. Однако все, кто из них перенёс эту инфекцию, работают с более высоким показателем IgM, зная что это безопасно. Очень обидно и непонятно, почему в стране, где равноправие, подход к людям разный. Извините за эти отступления. Спасибо.                      С уважением Скворцова Е.В Тлф: 8-985-908-50-60 -- Отправлено из Mail.ru для Android 	57	БОЛЬНИЧНЫЙ ЛИСТ 		
Добрый день, Мой муж, живет в Саратове со мной и сыном 3,5года, но работает вахтовым методом в Иркутске, 14 августа перед отправкой в Иркутск он сдал тест на коронавирус - отрицательно, 18 августа он прибыл в Иркутск где проходил обсервацию перед работой, 18 августа у него берут тест в Иркутске тест положительный, делают повторный тест он опять положительный его кладут в больницу где он сейчас находится. Что делать мне и сыну, мы находимся в Саратове у нас никаких признаков нету, муж тоже болеет бессимптомно? 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
Добрый день! Постоянно проживаю в Петербурге, сейчас в отпуске в краснодарском крае. На несколько дней ездили в Абхазию, сегодня вернулись в Адлер и продолжим путешествие по России  до 01 сентября. Границу Абхазии пересекли на такси (автомобиль).Нужно ли сдавать тест? Когда это необходимо сделать, учитывая что мы продолжаем путешествовать? Симптомов заболевания нет.Оксана  	308	" ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН """		
 Здравствуйте, скажите пожалуйста, по возвращении из-за границы тест ПЦР детям до 7 лет нужно сдавать?как это сделать, если в Альметьевске такой анализ делают только детям старше 7 лет? 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН "		
Я Владимир Владимирович Бухарев ОМС 7751120848001063 Я хотел бы узнать номер постановления об изоляции и до какого числа он действует, у меня на руках на 14 дней, но дежурный врач который приходил сказал, что когда вам делали КТ (он показал не более 5% воспаление остаточное) должны были дать на 21 день, но я спрашивал за что я расписываюсь, мне сказали только за лекарства бесплатные, анализ мазок на ковид отрицательный, анализ крови показывает антитела G, заключение что я переболел, проблема в том что, не поликлиника, ни кто не подсказывает, только телефоны разные дают друг друга, замкнутый круг, звонил по разным телефонам и в местный роспотребнадзор, если мне ни кто не предоставит информацию, значит по истечению 14 дней могу выходить из дома и удалить программу, которая отслеживает, я правильно все понял? (оригинал постановления на 14 дней и результаты анализов в последствии могу предоставить)      	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
 Уточните, пожалуйста, что делать, если нет денег на сдачу анализа методом пцр, а сдать нужно, так как прилетел из другой страны?    Галина. 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН "		
Здравствуйте, возвращаемчя из Турции 02.08. В нашем городе нет платных услуг по сдаче пцр теста на короновирус.  Г. Павлово нижегородская область. Как нам быть? 	308	" ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН """		
Где взять список лабораторий, где можно сдать анализ методом пцр бесплатно? 	135	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
 Добрый день!  Планируем семьей вылет из Красноярска в Геленджик 04.09-13.09 Подскажите какие правила действуют при перелете, и в Геленджике. С собой ребенок 2 года  Заранее спасибо за ответ 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Здравствуйте , скажите , пожалуйста , я приехала из Республики Беларусь 3 дня назад , тест сделала , он отрицателен , какие действия мне предпринимать дальше  и нужно ли кого-нибудь оповещать о своём приезде ?! 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день, Я  индивидуальный предприниматель и веду групповое обучение детей английскому языку в Санкт-Петербурге. У меня нет наемных работников. Когда можно будет возобновить очную работу? С уважением, Лахманова Светлана lakhmanovas@mail.ru 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
Добрый день! Хотела сейчас билет купить Москва Симферополь , надо для этого ещё тест проходить на ковид? 	37	 ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
Добрый день. Едем в Турцию. Хочу уточнить порядок действий по возвращению обратно в Россию. 1. Порядок действий, связанный с профилактикой КОВИД. 2. Сроки предоставления вам информации, и способ передачи данной информации. 3. Детям обязательно сдавать тест на КОВИД, или до какого возраста. 4. При возвращению в Россию поздно вечером в пятницу, как сдать и как предоставить вам результаты на Ковид. запланированы региональные аэропорты (Казань).  --  С уважением.  Турхан Олег,  +7-917-6734О17 (МТС) 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день. Что делать если у человек с которым я общался Положительный анализ на ковид? Какие мои действия?  Отправлено с iPhone	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ		
Добрый день! Скажите пожалуйста может ли гражданин РФ сдать тест ПЦР на covid 19 по прибытию в РФ в поликлинике по месту жительства??? 	308	" ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН """		
Добрый день!  Из Лондона прилетает пожилой родственник. Заполнить самостоятельно  какие либо анкеты не сможет.  Уточните, пожалуйста, какие анкеты будет необходимо заполнить перед вылетом и как это можно сделать с помощью родственников в Москве. Спасибо. 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день,    У меня начали появляться симптомы в пятницу 14 августа с незначительного недомогания, першение в горле, которым я не сразу придала значение. В Воскресенье, 16 августа, вечером у меня сильно поднялась температура до 38,7 - которую трудно было сбить, супруг позвонил в 112, сообщил о моем контакте с потенциально ковид положительным человеком, скорая сообщила, что не выезжает по таким вызовам и попросили обратиться в поликлинику по месту жительства, однако поликлиника уже в это время не работала (20:30 вечера). В понедельник, утром с температурой (38) болью в горле, мышцах, ломотой в суставах, головной болью, кашлем, легким расстройством стула и потерей обоняния я обратилась в поликлинику #46 района Таганский с просьбой вызвать врача на дом, на что мне предложили самостоятельно дойти до поликлиники, после моего отказа и продолжительной беседы с диспетчером мне сообщили, что мой вызов принят, но не могут гарантировать, что врач приедет. (Как такое может быть???)  Врач приехал, измерил давление, посмотрел горло, послушал легкие. Взял мазок для теста на коронавирус ПЦР, я сообщила, что менее часа назад полоскала горло мирамистином и только что выпила горячий чай, врач сообщил, что это не важно для результата (Но это не так,это очень важно, как и техника забора мазка) мне мазок брали неглубоко, недоставая до гланд и по внутренней стороне щеки, в носу но внутренней стороне ноздрей, не в ротоглотке.  Выдали ингаверин и постановление номер 14/23 000472 об изоляции. Все.  Мне становилось хуже (совсем пропало обоняние, температура, начал болеть живот болело и болит всё внутри, не могла сидеть и менять положения в состоянии лежа, лббая смена положения вызывала боль; сильнейшая слабость), потом во вторник заболел и муж.  У мужа также взяли тест, выдали Ингаверин антибиотики (которые мне не выдали при тех же симптомах). В четверг, я сама позвонила в поликлинику, мне сообщили, что результат отрицательный. Я вызвала врача повторно, врач не обратил внимания на мои жалобы на боли в животе, не осмотрел живот. Послушал легкие, измерил насыщение крови кислородом и ушел. Живот по-прежнему болит, самостоятельно пойти на обследование я не имею права из-за постановления о самоизоляции, врачи игнорируют мои жалобы.  Повторный тест мне делать отказываются, хотя у брата, который тоже заболел и с которым мы были в тестом контакте в пятницу ранее (14 авгутста), и который ни с кем кроме меня и моей семьи не общался, тест на коронавирус положительный, брат заразился от меня.  Мне явно нарушили технологию забора биоматериала, отказываются делать повторный тест, ссылаясь на то, сто если 1 тест отрицательный, то больше не делают, хотя по статистике очень много ложно-отрицательных результатов, игнорируют мои жалобы на боли в животе, сама дойти до врача, чтобы обследовать живот я не имею права. Что мне делать в такой ситуации? И на каком основании тогда я обязана быть на карантине, если мой отрицательный тест поликлиника считает достоверным, переделывать его не собирается?    Best Regards,  Alexandra Podsekina  +7 925 795 53 63 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
г. Москва    Добрый день. Прошу дать мне разъяснения куда мне нужно обратиться со  своей проблемой. Я сдала в мае тест на антитела и по результатам теста (  безсимтомная, в стадии заболевания) отсидела карантин 14 дней.  17 августа, сдав повторный тест, чтобы убедиться, что у меня уже есть  антитела - но анализ показывает, что я опять в стадии болезни. Меня опять  сажают на карантин на 14 дней.    Вопрос 1: Как мне можно освободиться от карантина? - т.к. я не болею, у  меня нет никаких отклонений в самочувствии. По окончании карантина должен  прийти врач и взять кровь на антитела. Как я подозреваю, анализ будет тот  же и мне опять придется сидеть 14 дней в карантине.    Вопрос 2: Плавно вытекает из первого - т.е. если я буду сдавать тест на  антитела - я буду автоматически сидеть карантин - соответственно это  больничный на 2 недели ( что очень не плохо в нужных ситуациях) ? Как долго  это будет продолжаться? Как я понимаю - пока у меня не будет другого  результата анализа?    Вопрос 3: Если это все-таки не так и я не должна сидеть 14 дней на  карантине прошу разъяснить мои дальнейшие действия. Куда мне звонить,  писать?  С уважением Прохорова Лилия Павловна  	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
По прибытию в РФ я сдала тест пцр на covid-19 в первые сутки, но ответ прислали на 5 сутки, что будет? 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день. 21.08.2020г. По прилёту из Турции я сдавала анализ на COVID-19 в аэропорту Пулково, СПб, ООО «Воздушные Ворота Северной Столицы», но до сих результат исследований не получила. Мои данные: Лапина Людмила Борисовна, 16.04.1972г., lusenl@yandex.ru. Пожалуйста, направьте мне результат исследования. С уважением, Людмила Лапина				
Прилетел сегодня из Турции, результаты теста на госуслуги надо отправить в течении 3 дней. Сегодня суббота, завтра воскресенье, по выходным тесты не делают. Сделаю в понедельник, результаты через 3 дня. Получается 5 дней. И что? Меня оштрафуют? 	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
У меня положительный тест на короновирус, сдал вчера , результаты пришли  сегодня , температура и кашель уже 4 день , позвонил участковый врач ,  назначил амаксиклав и инговерин . Насколько это уместное лечение ? 	132	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
Добрый день, подскажите есть ли на сегодня обязанность у работников в связи со сложившейся эпидемиологической ситуацией проходить тест на коронавирус за свой счет. спасибо.	135	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС		
Добрый день, уважаемые!  Меня зовут Фомичева Мария Александровна.  Я знаю, что если человек вернулся из другой страны, то он должен в течение 3 дней прикрепить документ о сдаче теста на короновирус на госуслугах.  21 августа 2020 я вернулась из Турции и прошла тест на коронавирус. Однако, результаты будут лишь в эту среду/четверг.  Что мне делать (и какие будут последствия), если я не успею прикрепить бумагу с результатами на госуслугах?  С уважением,  Фомичева Мария	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Меня зовут Умбрасас Артур Русланович. Недавно (позавчера) прилетел из  Турции и в самолете был проинформирован о том, что необходимо сдать тест на  коронавирус и это можно сделать самостоятельно где угодно, однако в данный  момент я чувствую некоторое недомогание, боль в горле, насморк и кашель.  Еще в Турции я чувствовал себя неважно, но буквально за 2 дня ситуация  нормализовалась, температура с 37.2 понизилась до нормальной, остальные  симптомы значительно притупились, однако, полностью не исчезли по  сегодняшний день.  Для того, чтобы не подвергать опасности людей вокруг, мне бы хотелось  пройти тестрирование на коронавирус на дому, однако, есть проблема. В  данный момент я нахожусь не по месту прописки, что означает, что меня нет в  базе данных местной поликлиники. Да и временной прописки, чтобы  прикрепиться к местной поликлинике у меня нет.  Есть временная прописка в другом районе, однако, принять там врача не  представляется возможным.  Подытоживая, хотел задать вопрос, каким образом я могу сдать тест на  коронавирус, чтобы не нарушать поставновлений роспотребнадзора на дому.  Врача из какой организации я могу вызвать?    Заранее спасибо за ответ.  	308	 ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 --в сентябре планируем лететь в Петропавловск Камчатский. Какие справки нужно иметь с собой, чтобы предъявить в порту прибытия? Отправлено из Mail.ru для Android 	37	 ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
Здравствуйте! Должны ли мы сдавать тест на коронавирус, и где это возможно, если мы прилетели из Турции? Мы ничего не подписывали и по прилету нас не информировали, что мы должны что-то сдавать	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Если вынесено постановление об изоляции-чего нельзя делать? 	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
Добрый день ! Прошу дать ответ на мой вопрос .  14.07.2020 года , сдавала тест на антитела к COVID-19 , мне пришли плохие анализы «отклонения от нормы» 15.08.2020 мне позвонили из Роспотребнадзора и сказали соблюдать режим Самоизоляции .  Я отсидела 14 дней  дома , все как положено , лечения никого не получала от своей поликлиники , врач ко мне приходил только мазки  брать. 29 июля мой карантин закончился ,меня сняли с контроля ,  выписали как «COVID-19 , вирус не индентифицирован». 19.08.20 года я сдаю ещё анализы , мазок на отсутствия COVID-19 и кровь на антитела к COVID-19, перед вакцинацией.  Мазок приходит «отрицательный» , а кровь опять с отклонениями . Прошу дать ответ , обязана ли я ВТОРОЙ раз  сидеть на самоизоляции ? Звонка от Роспотребнадзора с 19.08.20 по 24.08.20 мне не поступало .   На горячую линию Роспотребнадзора,  я сегодня обращалась,  ответить на мой вопрос не смогли . Дали  Телефоны для решения вопроса  : 84956873608 84956155163  Просьба эти телефоны мне не указывать в ответном письме , по этим телефон не отвечают ! Звонить больше не буду. Просьба дать ответ в письменном виде .      Елена 89853826461 -- Отправлено из мобильной Яндекс.Почты	6	ТЕСТИРОВАНИЕ (АНАЛИЗ) НА КОРОНАВИРУС 		
Здравствуйте . Мы вчера  прилетели из Турции с детьми . Возраст детей 6 лет , 3 год и 1 год . Подскажите пожалуйста всем ли нужно сдавать анализы пцр на короновирус или только взрослым ?   Отправлено из мобильной Яндекс.Почты: http://m.ya.ru/ymail 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
 Ребёнку 1,5 года надо сдавать тест на ковид по прилету из Турции?  Отправлено с iPhone 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Доброго дня. Обращаюсь к Вам за разъяснением ситуации. С 11 по 17 августа мы с девушкой были в Абхазии, границу пересекали через КПП Псоу, так как авиасообщения с Абхазией нет. Никаких симптомов коронавируса не наблюдали и не наблюдаем. 21 августа ( через 4 дня после возвращения в Россию ) районный отдел полиции меня уведомляет о том, что надо сдать тест на коронавирус. В интернете нашел информацию о том, что после Абхазии в течение 3 дней надо сдать тест и загрузить результаты на госуслуги. Что мне предстоит — оплата штрафа или сдача теста? Если сдача теста, то предоставьте информацию по возможностям сделать это бесплатно в Санкт-Петербурге.  -- 	308	" ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН """		
 Добрый день!   Подскажите, пожалуйста, как быть: ситуация следующая   Семья из трёх человек(мама россиянка, папа и сын украинцы) планируют поездку из Одессы в Россию на автомобиле( будут пересекать границу в Белгороде), едут в Таганрог к бабушке. Нужно ли делать тест на ковид на Украине, чтобы предъявлять на границе? Или сделать тест уже в Таганроге? Нужно ли быть на самоизоляции?  И еще - можно ли вообще пересечь границу на машине??   Спасибо огромное!  -- Юлия Истомина 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Здравствуйте, у воспитателя в садике обнаружили коронавирус,моя дочь контактировала. Мне нужен больничный с сегодняшнего дня с 24.08.2020, в больнице мне сказали,домой врач не придет т. к. у ребенка нет симптомов, что больничный откроется автоматически, так ли это? Когда у моего ребенка будут брать анализ? Сколько мы должны сидеть на карантине? -- Отправлено из Mail.ru для Android 	1	КАРАНТИН, ИЗОЛЯЦИЯ, САМОИЗОЛЯЦИЯ 		
Добрый день! Хочу получить разъяснения, почему ко мне до сих пор, прошло 4 дня, никто не приехал взять повторный анализ на ковид-19?! Ситуация такая: 14 августа я, Курилова Светлана Васильевна 16.06.1984 г.р. сдавала тест на Корона вирусо в ГБОУ Школа 806 от работы. Во вторник, 18 августа мне позвонили из опер.штаба и сообщили что тест положительный и мне необходимо немедленно отправится домой и ждать бригаду врачей для проведения повторного тестирования. Я указала адрес, по которому проживаю на данный момент: МО, Раменский район, СНТ Антоновка-1 (посёлок), 152 уч. Спустя сутки, поскольку никто не приехал и даже не позвонил я сама позвонила на горячую линию, сообщила о положительном результате теста и вызвала врача. Но, к сожалению, доктор мне постановление не выдал, больничный по ковид-19 открыть не может так как у меня нет подтверждения результатов (на почту не прислали результат анализа). В связи с этим возникает вопрос, как долго я буду ждать врача и кто может выдать больничный лист, так как на работу меня не принимают в связи с тем, что тест на ковид у меня положительный.  	257	                                                                                      ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
Добрый день! Нашла в интернете информацию о том, что возвращающиеся туристы из Турции (и других стран) обязаны сдать тест на COVID-19 в течение 3 дней и эта информация отсылается в Роспотребнадзор. Вопрос, собственно, вот в чем: можем мы дома провести положенные 14 дней карантина, как было ранее, и не сдавать анализ? Или теперь ТОЛЬКО через анализы?  -- С уважением, Александра Якушева 8-9270-222-600 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Здравствуйте,  Прошу предоставить документальное подтверждение того, что рейсы из России в Черногорию отменены из-за  «угрозы распространения короновирусной инфекции», как это утверждает авиакомпания S7: https://www.s7.ru/ru/info/notification/international-updates/#montenegro Это подтверждение мне необходимо, чтобы оформить возврат денег за проживание в Тивате, которым мы не сможем воспользоваться. Большое спасибо!  С уважением, Ирина Сурикова	46	ЗАЩИТА ПРАВ ПОТРЕБИТЕЛЕЙ (ТУРЫ, ГОСТИНИЦЫ, АВИАБИЛЕТЫ И БИЛЕТЫ НА МЕРОПРИЯТИЯ) 		
Хотела бы уточнить, действительны ли тесты ПЦР на коронавирус, сделанные в  аэропорту Домодедово, для предъявления на международные перелеты, в  частности в Дубай?    И хотела бы узнать срок действия теста ПЦР: 96 часов отсчитывается с  момента сдачи анализа или с момента получения справки?    С Уважением,  Екатерина Зубова 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Здравствуйте. На прошлой неделе во вторник и на этой неделе в среду я сдавала тест на короновирус. Оба теста пришли с результатом условно положительный. Какие мне сейчас предпринимать меры, потому что сейчас у меня скачет температура от 36,5 до 37 и слабость и когда мне можно повторно сдавать тест? Могу я находясь не по месту жительства вызывать врача для обследования? -- Отправлено из Mail.ru для Android 	257	ОКАЗАНИЕ МЕДИЦИНСКОЙ ПОМОЩИ, ГОТОВНОСТЬ СТАЦИОНАРОВ И ВРАЧЕЙ 		
Мы вернулись из отпуска из Турции. Можем ли мы сдать тест на коронавирус  бесплатно? Мы проживаем в Калининском районе Тверской области.  С уважением Наталья Киселева 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Я имела контакт с Человеком у которого подозрением на инфицирование Covib-19 . Обратилась в поликлинику по месту фактического пребывания, оформила больничный лист. Мне необходимо оформление предписания от Управления Роспотребнадзора . Как мне его получить? 	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ 		
Добрый день. 19.08 вечером я прилетела из Турции. Зарегистрировала на сайте  госуслуг услугу по регистрации прибывающих на территорию РФ. 21.08 сдала  тест на ковид. Сегодня 22.08 пришёл ответ - отрицательно. Загрузила на сайт 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
По прилету из Турции мы записались на прием к терапевту для получения  направления на проведение анализа на Ковид19. В регистратуре нам сказали,  что такое направление нам не дадут. Правомерен ли отказ медучреждения дать  нам направление на проведение бесплатного анализа Ковид_19? В какой выше  стоящий орган нам нужно написать жалобу?	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
Добрый день! Я учитель . Сдала анализ крови на антитела к короновирусу в школе и параллельно в другой организации, имеющей лицензию на эти анализы. Школьный анализ оказался положительным, а второй отрицательным. Администрация школы отказалась допускать меня к работе на основании отрицательного анализа. Мне пришлось взять больничный и согласиться на социальный мониторинг. Анализ ПЦР тоже оказался отрицательным. Вопрос: могу ли я обратиться куда-либо для снятия мониторинга? У меня нет ни каких симптомов заболевания.   С уважением, Хромова Т.Д 	12	ПРЕДПИСАНИЯ И ПОСТАНОВЛЕНИЯ		
Добрый день. 19.08 вечером я прилетела из Турции. Зарегистрировала на сайте  госуслуг услугу по регистрации прибывающих на территорию РФ. 21.08 сдала  тест на ковид. Сегодня 22.08 пришёл ответ - отрицательно. Загрузила на сайт  гос. Услуг результат. Подскажите нужно ли выполнить ещё какие либо действия?    	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН 		
